================================================================================
INDIAN SIGN LANGUAGE MODEL EVALUATION REPORT
================================================================================

Model: trained_20260225_215841
Evaluation Date: 2026-02-27 20:02:45
Number of Classes: 43

================================================================================
OVERALL METRICS
================================================================================
Accuracy:      3.00%
Top-3 Accuracy: 7.60%
Top-5 Accuracy: 11.10%
Macro F1:       0.26%
Weighted F1:    0.33%

================================================================================
PER-CLASS PERFORMANCE
================================================================================
Class                Precision    Recall       F1-Score     Support   
--------------------------------------------------------------------------------
0                      0.00%       0.00%       0.00%         18
1                      0.00%       0.00%       0.00%         26
2                      0.00%       0.00%       0.00%         27
3                      0.00%       0.00%       0.00%         34
4                      0.00%       0.00%       0.00%         23
5                      0.00%       0.00%       0.00%         27
6                      0.00%       0.00%       0.00%         37
7                      0.00%       0.00%       0.00%         24
8                      0.00%       0.00%       0.00%         27
9                      0.00%       0.00%       0.00%         13
A                      3.42%      58.62%       6.46%         29
B                      0.00%       0.00%       0.00%         20
C                      0.00%       0.00%       0.00%         30
D                      0.00%       0.00%       0.00%         20
E                      0.00%       0.00%       0.00%         20
F                      0.00%       0.00%       0.00%         18
G                      0.00%       0.00%       0.00%         20
H                      2.58%      44.83%       4.89%         29
Hello                  0.00%       0.00%       0.00%         29
I                      0.00%       0.00%       0.00%         19
India                  0.00%       0.00%       0.00%         25
J                      0.00%       0.00%       0.00%         23
K                      0.00%       0.00%       0.00%         19
L                      0.00%       0.00%       0.00%         28
M                      0.00%       0.00%       0.00%         14
N                      0.00%       0.00%       0.00%         23
Namaste                0.00%       0.00%       0.00%         26
No                     0.00%       0.00%       0.00%         22
O                      0.00%       0.00%       0.00%         25
P                      0.00%       0.00%       0.00%         31
Please                 0.00%       0.00%       0.00%         21
Q                      0.00%       0.00%       0.00%         21
R                      0.00%       0.00%       0.00%         18
S                      0.00%       0.00%       0.00%         24
T                      0.00%       0.00%       0.00%         23
Thank_You              0.00%       0.00%       0.00%         21
U                      0.00%       0.00%       0.00%         14
V                      0.00%       0.00%       0.00%         29
W                      0.00%       0.00%       0.00%         22
X                      0.00%       0.00%       0.00%         19
Y                      0.00%       0.00%       0.00%         16
Yes                    0.00%       0.00%       0.00%         19
Z                      0.00%       0.00%       0.00%         27
--------------------------------------------------------------------------------
Macro AVG              0.14%       2.41%       0.26%          -
Weighted AVG           0.17%       3.00%       0.33%          -
